strategy,suite,seed,channel,kind,first_found_time_s,clear_time_s,found_to_clear_s,supplement_measure_count,reacquisition_attempts,reacquisition_successes,reacquisition_no_signal,reacquisition_move_m,reacquisition_switch_count,reacquisition_time_s,mean_planned_step_m,max_planned_step_m,coarse_probe_count,intersection_probe_count,fallback_probe_count,cleared
a970_p140,min_reff,10000,14,dir,397.0,4291.256857,3894.2568570000003,13,12,2,10,414.32534393338506,12,154.865068786677,414.32534393338506,414.32534393338506,1,0,0,1
a970_p140,min_reff,10000,16,omni,409.0,1318.931435,909.931435,4,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
a970_p140,min_reff,10000,17,omni,101.0,6385.265475,6284.265475,20,19,2,17,127.0098988967251,19,139.40197977934503,297.64974553722,297.64974553722,1,0,0,1
a970_p140,min_reff,10000,19,dir,427.0,1092.815466,665.815466,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
a970_p140,min_reff,10001,1,dir,4389.141635,5444.882499,1055.7408640000003,4,3,2,1,1889.8849899660374,3,395.9769979932075,468.8778712714173,468.8778712714173,1,0,0,1
a970_p140,min_reff,10001,2,omni,3128.895317,3863.949721,735.054404,4,3,3,0,80.34552301219165,3,34.06910460243833,80.34552301219168,80.34552301219168,1,0,0,1
a970_p140,min_reff,10001,3,omni,17.0,282.865527,265.865527,1,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
a970_p140,min_reff,10001,4,omni,430.935128,1017.764998,586.82987,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
a970_p140,min_reff,10001,5,omni,424.935128,1386.515577,961.5804489999998,4,3,2,1,375.137143774413,3,93.0274287548826,375.13714377441295,375.13714377441295,1,0,0,1
a970_p140,min_reff,10001,8,dir,5083.930389,5787.031245,703.100856,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
a970_p140,min_reff,10001,9,dir,53.0,2940.15017,2887.15017,12,11,2,9,674.7753935977009,10,199.95507871954018,266.11125688123025,500.0,2,0,0,1
a970_p140,min_reff,10001,14,dir,4437.141635,4831.363925,394.2222899999997,1,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
a970_p140,min_reff,10001,16,dir,6134.621295,6352.701838,218.08054300000003,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
a970_p140,min_reff,10001,17,dir,3062.895317,4234.670201,1171.774884,6,5,3,2,1444.9030075299383,3,316.9806015059877,340.3739064294164,500.0,3,0,0,1
a970_p140,min_reff,10001,18,dir,1952.486434,2602.331213,649.844779,3,2,2,0,500.0,2,112.0,500.0,500.0,1,0,0,1
a970_p140,min_reff,10001,20,dir,3050.895317,4506.485505,1455.5901879999997,5,4,3,1,1383.1872200879145,4,300.6374440175829,399.71730006370944,399.71730006370944,1,0,0,1
a970_p140,collinear,10000,1,dir,5.0,2900.900364,2895.900364,8,6,4,2,1921.2696504974062,5,419.25393009948124,297.1330004686732,500.0,2,0,0,1
a970_p140,collinear,10000,2,dir,3066.84038,3976.821615,909.9812349999997,8,7,2,5,1352.6362902284138,2,307.52725804568274,357.6162849932206,500.0,5,0,0,1
a970_p140,collinear,10000,3,omni,17.0,1521.186038,1504.186038,3,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
a970_p140,collinear,10000,4,dir,414.0,2818.508475,2404.508475,6,5,2,3,550.5607313475844,5,140.11214626951687,109.40143001072609,109.40143001072609,1,0,0,1
a970_p140,collinear,10000,5,dir,29.0,1622.402164,1593.402164,4,1,1,0,587.2485476183156,1,123.44970952366312,437.54149104899267,437.54149104899267,1,0,0,1
a970_p140,collinear,10000,6,omni,35.0,2682.656005,2647.656005,10,7,7,0,1382.8921860358678,7,318.5784372071736,441.74898147041614,500.0,4,0,0,1
a970_p140,collinear,10000,7,omni,1030.972792,5542.300685,4511.327893,15,13,3,10,2503.3933432178696,11,576.6786686435739,413.34232413774095,413.34232413774095,1,0,0,1
a970_p140,collinear,10000,9,dir,53.0,1105.234021,1052.234021,4,3,2,1,114.93236660594873,3,40.98647332118975,114.93236660594883,114.93236660594883,1,0,0,1
a970_p140,collinear,10000,10,omni,59.0,1163.406339,1104.406339,5,4,4,0,676.9244278372814,4,159.38488556745628,279.4868470879798,500.0,2,0,0,1
a970_p140,collinear,10000,13,dir,3096.84038,3448.109658,351.26927799999976,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
a970_p140,collinear,10000,14,dir,354.0,1497.125186,1143.125186,5,3,3,0,498.0467723834761,2,116.60935447669522,285.1264008248001,488.66179579464836,3,0,0,1
a970_p140,collinear,10000,16,dir,95.0,1546.486014,1451.486014,4,1,1,0,164.7149108094799,1,38.94298216189598,450.0201422242228,450.0201422242228,1,0,0,1
a970_p140,collinear,10000,17,dir,3108.84038,3418.480446,309.64006599999993,3,2,2,0,447.21433737106867,1,100.44286747421373,265.1131729630521,500.0,2,0,0,1
a970_p140,collinear,10000,19,omni,113.0,1571.322567,1458.322567,3,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
a970_p140,collinear,10001,1,dir,5.0,6286.234525,6281.234525,23,22,4,18,6668.712873283811,18,1461.7425746567621,302.5679963931321,500.0,4,0,0,1
a970_p140,collinear,10001,2,omni,11.0,3615.49101,3604.49101,14,13,5,8,373.98306258326147,9,148.7966125166523,174.29046757384873,500.0,5,0,0,1
a970_p140,collinear,10001,3,dir,17.0,1789.513472,1772.513472,7,6,2,4,219.47577943459083,5,78.89515588691816,294.0880853211789,500.0,2,0,0,1
a970_p140,collinear,10001,4,omni,23.0,1809.351475,1786.351475,6,4,2,2,262.3069667024681,4,76.46139334049363,262.3069667024681,262.3069667024681,1,0,0,1
a970_p140,collinear,10001,5,dir,408.0,1727.777492,1319.777492,7,6,4,2,373.4822221122247,5,109.69644442244494,200.61918018343712,343.8331529480237,3,0,0,1
a970_p140,collinear,10001,8,dir,5962.322217,6113.864141,151.5419240000001,2,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
a970_p140,collinear,10001,9,dir,384.0,3468.031383,3084.031383,12,11,4,7,994.985248121437,8,261.9970496242874,238.7623871940158,500.0,4,0,0,1
a970_p140,collinear,10001,14,omni,83.0,6355.280429,6272.280429,22,20,8,12,1587.5657779270934,20,437.5131555854187,439.4054371099396,500.0,3,0,0,1
a970_p140,collinear,10001,16,dir,2089.171715,2809.16237,719.9906550000001,3,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
a970_p140,collinear,10001,17,dir,3746.087307,6188.530886,2442.4435789999998,11,10,5,5,216.6402835896232,10,103.32805671792464,339.80995806066437,500.0,2,0,0,1
a970_p140,collinear,10001,18,omni,107.0,3230.302482,3123.302482,11,9,4,5,613.4306413062586,9,176.68612826125172,461.935351203721,462.39698635610614,2,0,0,1
a970_p140,collinear,10001,20,dir,5579.771064,6340.809782,761.0387180000007,3,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,1
