suite,seed,channel,ready_time_s,clear_time_s,delay_time_s,delayed_actions,direct_distance_m,actual_path_until_clear_m,clear_delay_path_excess_m,task_pool_size_at_ready,strategy
collinear,10000,3,745.0,1521.186038,776.186038,33,937.2824867587101,2915.930189177545,1978.6477024188348,32,a970_p140
collinear,10000,5,745.0,1622.402164,877.4021640000001,36,875.1748770142992,3347.010816524305,2471.835939510006,32,a970_p140
collinear,10000,16,745.0,1546.486014,801.4860140000001,34,900.0530551381759,3017.4300679864377,2117.377012848262,32,a970_p140
collinear,10000,19,745.0,1571.322567,826.3225669999999,35,881.6148012477078,3116.6128331826426,2234.9980319349347,32,a970_p140
collinear,10000,10,851.0,1163.406339,312.4063389999999,24,469.3102725265923,852.0316916525892,382.7214191259969,32,a970_p140
collinear,10000,9,1095.959265,1105.234021,9.274756000000025,1,21.37377868507826,21.37377868507826,0.0,32,a970_p140
collinear,10000,14,1471.587637,1497.125186,25.5375489999999,1,102.68774594098547,102.68774594098547,0.0,30,a970_p140
collinear,10000,1,2368.575721,2900.900364,532.3246429999999,19,626.0869072274929,2111.623209934339,1485.5363027068458,23,a970_p140
collinear,10000,4,2798.768151,2818.508475,19.740323999999873,1,73.70161754691033,73.70161754691033,0.0,21,a970_p140
collinear,10000,17,3410.455952,3418.480446,8.024494000000232,1,15.12247178662071,15.12247178662071,0.0,21,a970_p140
collinear,10000,13,3442.234035,3448.109658,5.875622999999905,1,4.378114482731629,4.378114482731629,0.0,20,a970_p140
collinear,10000,2,3968.011129,3976.821615,8.810485999999855,1,19.052427840668162,19.052427840668162,0.0,17,a970_p140
collinear,10000,7,5455.582081,5542.300685,86.7186040000006,1,408.5930207352128,408.5930207352128,0.0,8,a970_p140
collinear,10001,18,432.0,3230.302482,2798.302482,161,973.2325194889278,9206.512405896185,8233.279886407257,31,a970_p140
collinear,10001,4,1581.471597,1809.351475,227.87987799999996,9,262.41615834728873,894.3993857974467,631.983227450158,27,a970_p140
collinear,10001,5,1709.559426,1727.777492,18.218065999999908,1,66.09032813251206,66.09032813251206,0.0,27,a970_p140
collinear,10001,3,1782.672648,1789.513472,6.8408240000001115,1,9.204117869791279,9.204117869791279,0.0,26,a970_p140
collinear,10001,16,2705.346577,2809.16237,103.81579300000021,1,494.07896340693947,494.07896340693947,0.0,22,a970_p140
collinear,10001,9,3450.299531,3468.031383,17.73185199999989,1,63.65925866908628,63.65925866908628,0.0,19,a970_p140
collinear,10001,2,3607.434627,3615.49101,8.056383000000096,1,15.281914423674507,15.281914423674507,0.0,18,a970_p140
collinear,10001,14,5302.846777,6355.280429,1052.4336520000006,52,940.7582368620787,3732.168264242281,2791.4100273802023,11,a970_p140
collinear,10001,17,5786.168915,6188.530886,402.36197099999936,31,558.3870710823729,1091.8098575781048,533.4227864957319,11,a970_p140
collinear,10001,8,6108.079029,6113.864141,5.785111999999572,1,3.9255610924649855,3.9255610924649855,0.0,10,a970_p140
collinear,10001,1,6261.780516,6286.234525,24.454009000000042,1,97.27004566849475,97.27004566849475,0.0,8,a970_p140
collinear,10001,20,6332.698415,6340.809782,8.111367000000428,1,15.556834586954954,15.556834586954954,0.0,7,a970_p140
