version,suite,seed,channel,first_found_time_s,clear_time_s,supplement_measure_count,supplement_measure_points_json,supplement_measure_times_json,supplement_mec_before_json,supplement_mec_after_json,supplement_arrival_move_json,supplement_at_search_json,final_clear_mec_m,found_after_extra_move_m,off_search_supplement_move_m,off_search_supplement_count,threshold_chasing_20_30_count,first_supplement_clearable,first_supplement_bucket,waited_search_supplement_count,wait_saved_dedicated_proxy_count
v6,random,7,3,2337.564604,2717.7443,3,"[[163.5291979016962,1168.2405083160522],[244.81055997113606,1201.2963072820517],[177.78204599270873,1450.2953944193407]]","[2533.654108,2556.203291,2612.775907]","[504.93167647960104,24.144383948694173,23.061295518901765]","[24.144383948694173,23.061295518901765,16.500818430629852]","[710.4475208720116,87.74591537583927,257.86307816622275]","[false,false,false]",16.500818430629852,1555.8984770355537,1056.0565144140737,3,2,0,20_25,0,0
v6,random,7,4,364.132957,638.756928,1,"[[-771.3857878528688,1164.1564799876571]]",[581.801509],[431.46671553364615],[10.16304062734988],[227.58654450213535],[false],10.16304062734988,487.36363891539816,227.58654450213535,1,0,1,le20_or_near,0,0
v6,random,7,5,29.0,826.976395,2,"[[-477.01988965287705,664.2582172370214],[-956.4337006714161,1031.6691024759796]]","[308.874675,530.2842]","[750.2730711578698,86.53238817854083]","[86.53238817854083,12.916999935924137]","[103.89279816618577,470.75621517442346]","[false,false]",12.916999935924137,1014.3686149876914,574.6490133406093,2,0,0,gt50,0,0
v6,random,7,6,35.0,2213.200254,2,"[[938.0604140004557,0.0],[410.1584581010439,161.7527581642903]]","[2085.774817,2208.200254]","[750.4026002735297,26.3339056497486]","[26.3339056497486,0.0]","[0.0,552.1271862679648]","[true,false]",26.3339056497486,552.1271862679648,552.1271862679648,1,1,0,25_30,1,0
v6,random,7,9,1311.441584,4006.473419,4,"[[-112.12455164805561,-955.9754252784828],[-1.7231890251187485e-13,-938.0604140004557],[-22.03619373178151,-676.7092581709521],[-747.0361937317815,-1066.4206898739494]]","[1478.254704,1548.964052,1625.419755,3901.459499]","[555.3841127971613,33.61461827033247,31.60160390428653,31.60160390428653]","[33.61461827033247,31.60160390428653,31.60160390428653,18.769130743413427]","[624.0655979106319,0.0,262.2785170150275,1034.3082872340972]","[false,true,false,false]",18.769130743413427,2420.7220040817765,1920.6524021597565,3,0,0,30_50,1,0
v6,random,7,10,388.132957,896.559657,1,"[[-1428.63997491372,1069.088745147676]]",[734.032475],[516.0501573271968],[15.61524095515219],[446.37773683330516],[false],15.61524095515219,466.19854774417877,446.37773683330516,1,0,1,le20_or_near,0,0
v6,random,7,13,77.0,1722.998167,1,"[[-1.7231890251187485e-13,-938.0604140004557]]",[1530.964052],[750.4017745078289],[19.059359774463044],[0.0],[true],19.059359774463044,462.89206203844327,0,0,0,1,le20_or_near,0,0
v6,random,7,16,95.0,3688.597842,2,"[[-938.0604140004557,1.148792683412499e-13],[-916.0344676368707,-469.92450317162235]]","[1075.708317,1223.796399]","[750.4017745078289,96.88673259004013]","[96.88673259004013,15.96837651912068]","[0.0,470.44041173596867]","[true,false]",15.96837651912068,1412.260459778267,470.44041173596867,1,0,0,gt50,0,0
v6,random,7,18,107.0,3495.233832,1,"[[-533.146795258142,576.8311963683135]]",[282.096115],[750.327394100134],[15.872452548605049],[785.4805754426567],[false],15.872452548605049,1820.8601850324694,785.4805754426567,1,0,1,le20_or_near,0,0
v6,random,7,19,424.132957,2957.196268,1,"[[60.570995906435314,1225.180411906242]]",[2855.1399],[604.832057077446],[18.81995516285433],[656.9779991421223],[false],18.81995516285433,1142.2598369503153,656.9779991421223,1,0,1,le20_or_near,0,0
v6,random,8,2,11.0,1708.694513,2,"[[938.0604140004557,0.0],[541.6752230108989,212.1397058172767]]","[1600.794074,1702.710585]","[750.4017745078273,21.595557826278764]","[21.595557826278764,4.919638765899104]","[0.0,449.5825557337252]","[true,false]",4.919638765899104,454.5021944996226,449.5825557337252,1,1,0,20_25,1,0
v6,random,8,3,17.0,1070.822606,1,"[[-1.7231890251187485e-13,-938.0604140004557]]",[876.497147],[750.402120243458],[16.76148215295367],[0.0],[true],16.76148215295367,532.2603280137488,0,0,0,1,le20_or_near,0,0
v6,random,8,4,23.0,2021.199671,2,"[[938.0604140004557,0.0],[663.3088799023825,663.3088799023825]]","[1594.794074,1815.020458]","[750.4018002236924,65.57374777410504]","[65.57374777410504,17.226371635094413]","[0.0,0.0]","[true,true]",17.226371635094413,705.8960667038792,0,0,0,0,gt50,1,1
v6,random,8,5,318.612083,608.368481,2,"[[-312.83691163634177,-880.7050718266819],[-786.1184697487508,-1290.9875517607356]]","[473.096434,603.368481]","[474.6284577781734,34.01128898200868]","[34.01128898200868,0.0]","[412.42175597737264,626.3602370761947]","[false,false]",34.01128898200868,1038.7819930535675,1038.7819930535675,2,0,0,30_50,0,0
v6,random,8,7,2358.229199,2774.799695,2,"[[-663.3088799023824,663.3088799023825],[-1294.8636340897506,818.9585413779367]]","[2530.821271,2720.911736]","[731.2333245368166,66.65976160180242]","[66.65976160180242,12.599215081528905]","[0.0,650.4523231214735]","[true,false]",12.599215081528905,894.8921172020059,650.4523231214735,1,0,0,gt50,1,0
v6,random,8,9,53.0,1347.815686,2,"[[663.3088799023823,-663.3088799023825],[631.0860794071639,-358.6991295519554]]","[1176.338438,1291.600305]","[750.4017745078274,51.791190660790605]","[51.791190660790605,7.3547093308093565]","[0.0,306.3093352810263]","[true,false]",7.3547093308093565,562.3862378784548,306.3093352810263,1,0,0,gt50,1,0
v6,random,8,12,71.0,959.37054,2,"[[-433.37283859177614,-877.9996748365022],[82.34039731826681,-1241.1064322525508]]","[722.994162,951.30378]","[750.2308921875922,38.558038301956316]","[38.558038301956316,15.333798197073445]","[543.1284072728273,314.03316737086743]","[false,false]",15.333798197073445,872.495372840765,857.1615746436947,2,0,0,30_50,0,0
v6,random,8,13,77.0,3036.500161,2,"[[-663.3088799023824,663.3088799023825],[-1274.1638765297362,194.7140860637111]]","[2554.821271,3028.181414]","[750.4017745078289,46.22801049295581]","[46.22801049295581,16.5937358339897]","[0.0,569.2609475068738]","[true,false]",16.5937358339897,585.8546833408623,569.2609475068738,1,0,0,30_50,1,0
v6,random,8,16,95.0,1410.729491,2,"[[663.3088799023823,-663.3088799023825],[416.5118961054321,-284.4755376873989]]","[1206.338438,1402.156125]","[750.287954573682,42.52241847080983]","[42.52241847080983,17.866829309343622]","[0.0,241.70219482792956]","[true,false]",17.866829309343622,259.5690241372726,241.70219482792956,1,0,0,30_50,1,0
v6,random,8,17,2572.821271,2908.329224,1,"[[-1404.1486080536952,1130.0849204841309]]",[2822.919278],[491.9995952956818],[16.10899018536561],[210.59791685851684],[false],16.10899018536561,612.6476459022329,210.59791685851684,1,0,1,le20_or_near,0,0
v6,random,8,19,378.612083,3355.153418,2,"[[-938.0604140004557,1.148792683412499e-13],[-1066.6075533390895,595.5983563546762]]","[3124.842655,3300.705163]","[750.4017745078294,208.81685379942178]","[208.81685379942178,11.01147800984362]","[0.0,609.3125381317357]","[true,false]",11.01147800984362,856.5538106327473,609.3125381317357,1,0,0,gt50,1,0
v6,random,9,1,1882.558361,2206.51288,1,"[[-938.0604140004557,1.148792683412499e-13]]",[2170.694886],[750.3663562076559],[14.26610358493071],[0.0],[true],14.26610358493071,154.0899721998286,0,0,0,1,le20_or_near,1,1
v6,random,9,2,11.0,2431.934227,2,"[[-938.0604140004557,1.148792683412499e-13],[-491.1806592517833,-127.65512201338674]]","[2164.694886,2426.934227]","[750.2620974628974,32.27897761239898]","[32.27897761239898,0.0]","[0.0,142.88587197154294]","[true,false]",32.27897761239898,142.88587197154294,142.88587197154294,1,0,0,30_50,0,0
v6,random,9,5,2562.460326,2989.416319,2,"[[-1.7231890251187485e-13,-938.0604140004557],[213.59138639816393,-1185.7607275866287]]","[2801.052398,2884.466991]","[662.4611264019995,28.048756228249996]","[28.048756228249996,17.941110546626106]","[0.0,327.0729669266145]","[true,false]",17.941110546626106,826.8196077795994,327.0729669266145,1,1,0,25_30,1,0
v6,random,9,6,35.0,1751.857662,2,"[[5.743963417062496e-14,938.0604140004557],[-488.9999483059769,764.5833422541943]]","[1121.91452,1647.637477]","[750.401774507829,67.85767230745822]","[67.85767230745822,14.281348782950863]","[0.0,1282.6035215356217]","[true,false]",14.281348782950863,1778.704446710952,1282.6035215356217,1,0,0,gt50,1,0
