version,suite,seed,channel,time_s,selected_x,selected_y,selected_search_index,selected_p_clear,selected_route_marginal_s,selected_expected_future_cost_s,selected_objective_s,highest_p_clear_x,highest_p_clear_y,highest_p_clear,highest_p_clear_route_marginal_s,highest_p_clear_objective_s,abandoned_high_p_clear
v6,random,6,1,1002.557584,870.9117521909885,-488.0579061749789,,1.0,12.39195071985182,105.56437541693714,122.95632613678896,870.9117521909885,-488.0579061749789,1.0,12.39195071985182,122.95632613678896,0
v6,random,6,20,1203.006605,1086.2021285925916,-618.7736635804457,,0.8888888888888888,53.29006145906192,29.872167843719872,88.16222930278178,663.3088799023823,-663.3088799023825,1.0,0.0,95.04840669761073,1
v6,random,6,9,1470.1259,971.2409742618822,-1074.134619384845,,0.2777777777777778,9.620795298609892,168.88710011821013,183.50789541682002,479.7595176896149,-1571.8520825526946,0.75,106.46859294858973,220.30244533248813,1
v6,random,6,12,1485.375444,932.0083698792295,-1098.622464720759,,1.0,12.430322651376514,55.3541591866269,72.78448183800342,932.0083698792295,-1098.622464720759,1.0,12.430322651376514,72.78448183800342,0
v6,random,6,2,1562.765041,1023.2406011573067,-1443.714545490883,,0.75,0.12598352972565863,120.08679109355752,125.21277462328318,157.21519737286826,-1443.7145454908828,0.8333333333333334,84.29035717293993,197.65167885152317,1
v6,random,6,9,1620.700645,792.0299402855819,-1483.906629443877,,0.9722222222222222,0.4617633259176728,12.792522648215824,18.254285974133495,1042.029940285582,-1483.906629443877,1.0,12.365982764108253,72.67478818358654,1
v6,random,6,18,1852.146345,-1.7231890251187485e-13,-938.0604140004557,7,0.4166666666666667,0.0,166.94067285080482,171.94067285080482,-1.7231890251187485e-13,-938.0604140004557,0.4166666666666667,0.0,171.94067285080482,0
v6,random,6,3,1900.146345,-1.7231890251187485e-13,-938.0604140004557,7,0.2777777777777778,0.0,198.6313979553736,203.6313979553736,-204.47223455731262,-975.7320292642964,0.4444444444444444,20.91081786240568,206.49878166262602,1
v6,random,6,3,2018.918769,56.02057829605654,-1479.0296349964747,,1.0,150.31932889146742,7.347848471353662,162.6671773628211,56.02057829605654,-1479.0296349964747,1.0,150.31932889146742,162.6671773628211,0
v6,random,6,18,2178.840951,-405.7543820078397,-863.3472154250983,,1.0,8.2244961617115,6.605153480181205,19.829649641892704,-405.7543820078397,-863.3472154250983,1.0,8.2244961617115,19.829649641892704,0
v6,random,6,8,2335.344025,-617.3571029538705,-508.5894289596133,,1.0,24.436783448915094,6.651042155604665,36.08782560451976,-617.3571029538705,-508.5894289596133,1.0,24.436783448915094,36.08782560451976,0
v6,random,6,14,2479.416912,-938.0604140004557,1.148792683412499e-13,5,0.4722222222222222,0.0,185.9594797662808,190.9594797662808,-1210.7438021722226,-24.53236307856821,0.75,86.98416039697105,229.38793300701187,1
v6,random,6,14,2554.422436,-1086.2966988162498,-72.52667704606881,,1.0,63.939151251750616,104.90884065851031,173.84799191026093,-1086.2966988162498,-72.52667704606881,1.0,63.939151251750616,173.84799191026093,0
v6,random,6,10,2900.925765,-750.1591501706013,485.3342552317063,,0.25,31.55228393322085,218.72879724296575,255.2810811761866,-750.1591501706013,485.3342552317063,0.25,31.55228393322085,255.2810811761866,0
v6,random,6,19,2939.968529,-897.7170807341131,559.646193793042,,1.0,18.521767768377117,6.937752970129624,30.45952073850674,-897.7170807341131,559.646193793042,1.0,18.521767768377117,30.45952073850674,0
v6,random,6,6,2989.471379,-778.0986614316164,705.3000907421408,,0.08333333333333333,17.87290142103518,239.51718201474034,262.3900834357755,-778.0986614316164,705.3000907421408,0.08333333333333333,17.87290142103518,262.3900834357755,0
v6,random,6,4,3011.328832,-712.6128718101868,749.999999999999,,0.25,11.050317581113688,186.78584812570443,202.83616570681812,-462.6128718101868,749.999999999999,0.3333333333333333,16.273993950486158,216.11559866078682,1
v6,random,6,4,3086.862416,-977.6226540715082,982.6896547802385,,1.0,24.065707286782185,7.232213621472514,36.297920908254696,-977.6226540715082,982.6896547802385,1.0,24.065707286782185,36.297920908254696,0
v6,random,6,6,3139.663058,-871.5066638175883,1150.714916464011,,1.0,15.687440675017967,55.09743564786602,75.78487632288399,-871.5066638175883,1150.714916464011,1.0,15.687440675017967,75.78487632288399,0
v6,random,6,15,3414.349405,-42.72768379416004,1222.847781572207,,0.7222222222222222,255.61633799269597,134.72665012365786,395.34298811635387,-42.72768379416004,1222.847781572207,0.7222222222222222,255.61633799269597,395.34298811635387,0
v6,random,7,18,282.096115,-533.146795258142,576.8311963683135,,0.3333333333333333,0.7381891501142945,170.35597832267575,176.09416747279005,-533.146795258142,576.8311963683135,0.3333333333333333,0.7381891501142945,176.09416747279005,0
v6,random,7,5,308.874675,-477.01988965287705,664.2582172370214,,0.3333333333333333,26.782684605032046,168.7142771345201,200.49696173955215,-477.01988965287705,664.2582172370214,0.3333333333333333,26.782684605032046,200.49696173955215,0
v6,random,7,5,530.2842,-956.4337006714161,1031.6691024759796,,1.0,0.46614209872859647,56.142895100492126,61.60903719922072,-956.4337006714161,1031.6691024759796,1.0,0.46614209872859647,61.60903719922072,0
v6,random,7,4,581.801509,-771.3857878528688,1164.1564799876571,,0.75,29.182987262854112,101.36792362673759,135.5509108895917,-698.1624831495055,1420.3924865832396,0.8611111111111112,75.13523483804124,200.35554768792912,1
v6,random,7,10,734.032475,-1428.63997491372,1069.088745147676,,0.5833333333333334,27.34693046257189,137.93747259400737,170.28440305657927,-1428.6399749137202,203.0633413632375,0.75,141.45636008368956,273.1720283672392,1
v6,random,7,1,887.595495,-1293.0683628987374,650.311058380659,,0.3055555555555556,0.027714834810240063,168.07007217841303,173.09778701322327,-1478.3636016231071,841.8423037006112,0.5,55.44090897811475,226.41697428331662,1
