version,n,problem,suite,seed,success,cleared,total,source_count,omni_count,dir_count,total_time_s,avg_time_per_source_s,move_distance_m,move_time_s,measure_count,measure_time_s,switch_count,switch_time_s,clear_success,clear_fail,clear_time_s,near_count,time_component_delta_s,policy_runtime_s,error,number_discovered,number_cleared,discovered_but_not_cleared,never_discovered,reacquisition_attempts,reacquisition_successes,no_signal_after_found,deferred_targets,targets_remaining_at_exit,completed_search_points,remaining_search_points,termination_reason,local_reacquisition_move_m,local_reacquisition_measure_count,local_reacquisition_switch_count,local_reacquisition_time_s,non_reacquisition_time_s,coarse_successes,coarse_failures,intersection_attempts,fallback_targets,mec_checks,guaranteed_clear_attempts,guaranteed_clear_successes,guaranteed_clear_failures,certificate_ready_channels_at_exit
w6_persistent_bearing,27,4,random,24,1,15,15,15,1,14,11018.968974,734.5979315999999,41014.84486341711,8202.968972683422,470,2350.0,391,391.0,15,0,75.0,3,1.3165772543288767e-06,1.802221459000009,,15,15,0,0,230,53,190,11,0,25,0,all_resolved,25098.991537577345,230,154,6323.798307515469,4695.170666484531,31,54,0,1,31,12,12,0,[]
w6_persistent_bearing,27,4,random,25,1,13,13,13,3,10,7389.567079,568.4282368461538,25947.835399855743,5189.567079971149,358,1790.0,345,345.0,13,0,65.0,3,-9.711484381114133e-07,2.7243904999999984,,13,13,0,0,65,18,53,3,0,25,0,all_resolved,4314.249588599324,65,56,1243.8499177198648,6145.717161280136,11,5,0,0,11,10,10,0,[]
w6_persistent_bearing,27,4,random,26,1,15,15,15,11,4,7282.095829,485.4730552666667,26585.479147238413,5317.095829447682,321,1605.0,285,285.0,15,0,75.0,2,-4.47682396043092e-07,13.135845332999992,,15,15,0,0,115,47,79,4,0,25,0,all_resolved,10747.11732948753,115,85,2809.423465897506,4472.672363102494,24,12,0,0,24,13,13,0,[]
w6_persistent_bearing,27,4,random,27,1,15,15,15,7,8,7818.745407,521.2496938,27778.72703462341,5555.745406924682,369,1845.0,343,343.0,15,0,75.0,1,7.53179847379215e-08,3.660084542000007,,15,15,0,0,156,43,127,7,0,25,0,all_resolved,12173.411383953955,156,133,3347.682276790791,4471.06313020921,20,11,0,0,20,14,14,0,[]
w6_persistent_bearing,27,4,random,28,1,10,10,10,6,4,7126.772615,712.6772615,22188.863070875235,4437.772614175047,444,2220.0,419,419.0,10,0,50.0,2,8.249526217696257e-07,1.0527545830000093,,10,10,0,0,72,19,59,3,0,25,0,all_resolved,7230.539730295793,72,54,1860.1079460591586,5266.664668940841,7,12,0,0,7,8,8,0,[]
w6_persistent_bearing,27,4,random,29,1,14,14,14,6,8,8077.731661,576.9808329285714,28588.658294113375,5717.731658822675,388,1940.0,350,350.0,14,0,70.0,1,2.1773248590761796e-06,3.208236040999992,,14,14,0,0,128,32,106,6,0,25,0,all_resolved,17862.066905853586,128,91,4303.413381170717,3774.318279829283,16,27,0,0,16,13,13,0,[]
w6_persistent_bearing,27,4,random,30,1,14,14,14,12,2,6557.04772,468.3605514285714,23705.238609581127,4741.047721916226,293,1465.0,281,281.0,14,0,70.0,2,-1.9162262105965056e-06,6.567161500000012,,14,14,0,0,69,27,51,4,0,25,0,all_resolved,3197.336537476245,69,63,1047.467307495249,5509.580412504751,13,0,0,0,13,12,12,0,[]
w6_persistent_bearing,27,4,random,31,1,10,10,10,7,3,7772.324075,777.2324075,26736.620376171206,5347.324075234241,400,2000.0,375,375.0,10,0,50.0,0,-2.3424036044161767e-07,2.0032225839999995,,10,10,0,0,100,24,85,7,0,25,0,all_resolved,9013.645076367851,100,82,2384.7290152735704,5387.59505972643,6,12,0,0,6,10,10,0,[]
w6_persistent_bearing,27,4,random,32,1,10,10,10,1,9,8401.792752,840.1792751999999,29178.96375628481,5835.792751256962,424,2120.0,396,396.0,10,0,50.0,0,7.430371624650434e-07,0.8941217920000071,,10,10,0,0,91,25,74,4,0,25,0,all_resolved,10714.738564007854,91,69,2666.9477128015706,5734.845039198429,18,15,0,0,18,10,10,0,[]
w6_persistent_bearing,27,4,random,33,1,14,14,14,3,11,7719.795595,551.4139710714286,28378.977994285786,5675.7955988571575,335,1675.0,299,299.0,14,0,70.0,1,-3.857157935271971e-06,2.3279377079999932,,14,14,0,0,97,26,81,6,0,25,0,all_resolved,8278.699362188172,97,67,2207.7398724376344,5512.055722562365,13,22,0,0,13,13,13,0,[]
