run,suite,seed,channel,time_s,observation_count,feasible_vertices,mec_radius_m,mec_center_x,mec_center_y,valid,clear_ready
26,random,26,2,1826.651329,5,4,36.05163730481564,544.5712253229192,-1235.863373100127,1,0
26,random,26,2,1847.463438,6,4,34.58121396738768,544.5108673871714,-1235.81256902713,1,0
26,random,26,3,1956.736941,5,5,20.691952190871287,338.9793645264537,377.89821030858275,1,0
26,random,26,4,1962.736941,1,4,564.6330821850415,1049.241126862994,-819.0097122876473,1,0
26,random,26,5,1968.736941,1,4,444.12483744121164,864.7880904461351,-1070.279038726285,1,0
26,random,26,6,1974.736941,2,4,25.469673501718905,884.9953811475582,-585.6221082356446,1,0
26,random,26,10,1992.736941,3,4,11.108263618452073,121.1299246844425,-568.7961439677792,1,1
26,random,26,14,2016.736941,5,7,15.707737854438903,374.390326702621,16.699846195217056,1,1
26,random,26,6,2102.549696,3,4,22.661282460968746,886.8364404941291,-586.9361923145293,1,0
26,random,26,10,2187.560817,4,4,6.708593547839757,122.92121376832456,-567.9055762829018,1,1
26,random,26,14,2312.136431,6,4,10.404594020707972,376.5798676047622,18.210878567562176,1,1
26,random,26,6,2405.80026,4,4,21.176344636034468,885.3176620102357,-585.9891763950147,1,0
26,random,26,6,2423.009323,5,4,20.79585106043866,885.8030184491342,-586.3283713797181,1,0
26,random,26,6,2434.105275,6,3,15.207549385267907,890.5140876684691,-583.4791295495708,1,1
26,random,26,4,2480.02705,2,4,31.45775311350815,1349.405806987712,-823.4779948676248,1,0
26,random,26,5,2608.104553,2,4,25.753494706814767,681.8629047801766,-963.6324974951981,1,0
26,random,26,7,2614.104553,1,5,750.1337863639643,1546.81462520735,-95.55100701526021,1,0
26,random,26,5,2720.104553,3,4,25.753494706814767,681.8629047801766,-963.6324974951981,1,0
26,random,26,7,2726.104553,2,5,284.3433092701854,1603.2934689513156,305.9855577078236,1,0
26,random,26,5,3000.114757,4,5,21.92937573176921,677.1788719019248,-964.468116074272,1,0
26,random,26,5,3144.843486,5,5,11.875709238911051,672.1153278889005,-960.6499355176733,1,1
26,random,26,3,3389.480582,6,6,17.688308205811875,340.8643176889416,377.57116826522116,1,1
26,random,26,14,3554.132843,7,4,10.404594020707972,376.5798676047622,18.210878567562176,1,1
26,random,26,11,3572.132843,1,4,562.2970943949422,1236.6216261595243,495.0665923176878,1,0
26,random,26,7,3584.132843,3,5,32.76927813330067,1598.8172888085674,309.4650337530077,1,0
26,random,26,3,3590.132843,7,6,13.26044925597566,343.0639337056374,382.8104065993483,1,1
26,random,26,14,3662.357197,8,5,9.641926868011481,376.73789902275155,17.089975584331988,1,1
26,random,26,7,3797.763226,4,4,27.46079232965048,1598.4044566332693,310.4315874392934,1,0
26,random,26,7,3838.974797,5,4,25.461420837349873,1598.3064490581546,312.28537224162835,1,0
26,random,26,7,3862.00478,6,4,23.978436739031533,1598.03091091941,310.8036358160804,1,0
26,random,26,7,3875.791911,7,3,21.650366142204252,1599.5821089112644,311.4207935485914,1,0
26,random,26,7,3885.121318,8,4,10.830177302459198,1609.3332930940253,316.11791446784906,1,1
26,random,26,11,4037.779649,2,5,32.66962092688238,1507.1221346834448,957.6946519449243,1,0
26,random,26,11,4303.779649,3,4,17.237027191434013,1506.7067769592122,961.0963307517593,1,1
26,random,26,9,4309.779649,1,5,750.1447359487072,1270.5369160128637,112.93358033466171,1,0
26,random,26,3,4315.779649,8,6,13.26044925597566,343.0639337056374,382.8104065993483,1,1
26,random,26,11,4403.779649,4,4,3.298917092470281,1508.757671227602,965.2098509961203,1,1
26,random,26,9,4409.779649,2,4,133.85965667160872,1315.3311019572627,303.54223696784055,1,0
26,random,26,3,4415.779649,9,6,13.26044925597566,343.0639337056374,382.8104065993483,1,1
26,random,26,3,4543.489814,10,6,13.26044925597566,343.0639337056374,382.8104065993483,1,1
26,random,26,9,4560.990261,3,5,19.52182265909166,1329.4373972976732,342.37400186114604,1,1
26,random,26,3,4949.918815,11,6,13.26044925597566,343.0639337056374,382.8104065993483,1,1
26,random,26,13,4961.918815,2,4,33.83574362176836,1.541234396991948,1686.506223845915,1,0
26,random,26,13,5103.692923,3,4,25.611805871737158,2.648753474329382,1688.7939902638955,1,0
26,random,26,3,5213.792505,12,6,13.26044925597566,343.0639337056374,382.8104065993483,1,1
26,random,26,13,5225.792505,4,4,8.743308349846567,-5.608080954891967,1689.2728528921762,1,1
26,random,26,13,5281.729775,5,4,8.475191579136952,-5.788444532876318,1689.296014759399,1,1
26,random,26,3,5313.151898,13,6,13.26044925597566,343.0639337056374,382.8104065993483,1,1
26,random,26,3,5461.151898,14,6,13.26044925597566,343.0639337056374,382.8104065993483,1,1
26,random,26,3,5573.956588,15,7,12.398295129807995,342.1011430821349,382.8875281466336,1,1
26,random,26,14,5585.956588,9,5,9.641926868011481,376.73789902275155,17.089975584331988,1,1
26,random,26,3,5670.992864,16,6,11.707328631298543,343.4763273687623,382.2546674339018,1,1
26,random,26,14,5691.482903,10,5,9.641926868011481,376.73789902275155,17.089975584331988,1,1
26,random,26,15,6093.233328,3,4,26.249347764016697,-1007.9459356660172,488.44087132968343,1,0
26,random,26,15,6130.782374,4,5,23.712993375782986,-1004.4603301342638,486.8291975947732,1,0
26,random,26,15,6151.649544,5,4,22.924000738865335,-1004.6838378429217,486.96608984208325,1,0
26,random,26,15,6164.524478,6,3,19.641185950132634,-1007.3756379239028,485.29857315447157,1,1
28,random,28,13,77.0,1,5,750.1415764182555,678.9332884474843,319.00152744015804,1,0
28,random,28,20,119.0,1,4,750.130631038583,688.1280365994202,-298.62312179095767,1,0
28,random,28,7,1486.010204,1,5,646.3148721436884,-1602.8611064622173,210.87057422226243,1,0
28,random,28,7,1634.010204,2,4,172.44620566155496,-1647.7938629568666,67.53874789623035,1,0
28,random,28,7,1843.69604,3,4,13.366175692980217,-1639.0855949943,120.88314685556989,1,1
28,random,28,7,1914.023651,4,5,13.36617548940383,-1639.0862591065447,120.88538316657635,1,1
28,random,28,17,1974.023651,1,6,636.640094247049,-1389.1086258145338,-665.2389298808181,1,0
28,random,28,6,2233.864921,1,4,425.0357865550403,-1376.3225045358035,-124.7294759077278,1,0
28,random,28,17,2293.864921,2,4,26.669491130616215,-1357.8054015793273,-701.5937871981939,1,0
28,random,28,6,2490.123516,2,4,15.187366963398494,-1726.8253038554772,-217.7589707805888,1,1
28,random,28,18,3769.571227,1,5,750.1364291913256,669.5398262314476,-1341.8274269496465,1,0
28,random,28,4,3835.571227,1,7,750.0090359834171,698.4196155118184,-1406.7331150830528,1,0
